воздух	35285	522
почва	24578	799
год	19443	229
земля	15678	11779
состояние	14196	2251
место	11705	10746
песок	11142	9831
глаз	8250	6944
погода	7762	1463
ветер	7145	2106
условие	7014	379
пара	6291	56
луг	6174	2553
лес	5066	969
слой	4520	75
трава	3852	13653
зерно	3581	116
тряпка	3484	15076
соль	3448	234
грунт	3415	892
рука	3308	7652
блеск	3025	400
лоб	2955	3292
губа	2909	4637
волос	2763	10869
лето	2651	462
глина	2609	3465
уборка	2577	109
участок	2511	142
поверхность	2459	622
мох	2335	682
ткань	2292	885
снег	2238	29700
масса	2138	131
запах	1963	112
туман	1690	955
лист	1647	4988
полотенце	1629	8883
тип	1583	442
тело	1558	2456
берег	1426	202
весна	1401	192
склон	1374	72
опилки	1364	565
нос	1362	3012
камень	1326	3848
кожа	1296	874
пятно	1235	3795
образец	1186	77
день	1155	573
уголь	1154	216
способ	1128	7293
препарат	1103	114
рот	1094	943
древесина	1068	52
ладонь	1044	2030
часть	1022	377
бумага	995	916
пар	975	69
скала	956	641
холод	952	285
палец	937	2273
время	931	320
лицо	920	11132
свежесть	873	53
осень	872	270
листва	828	2295
пыль	828	778
губка	827	1391
асфальт	791	8151
торф	736	108
режим	730	223
салфетка	717	481
зуб	717	76
мгла	694	344
термометр	684	1747
помещение	671	130
зелень	662	678
тряпочка	658	752
язык	647	478
небо	641	801
след	638	4054
марля	634	129
ночь	606	239
вид	601	999
холодок	595	66
пелена	594	343
вата	548	527
хлеб	547	232
суглинок	546	92
сумрак	525	48
тьма	520	475
стена	519	1715
темнота	516	286
пленка	512	139
платок	494	2990
сено	489	443
солома	475	983
обработка	475	1464
щека	468	4071
одежда	440	8272
подстилка	437	108
простыня	421	2024
дерево	407	2625
низина	388	94
белье	366	4017
свет	358	55
ил	356	116
дно	338	252
бурка	336	149
глазок	329	96
полоса	321	567
тундра	320	357
хлопья	316	1986
фильтр	312	192
поле	298	852
голос	297	69
мрак	293	43
поцелуй	289	196
дорога	289	1651
кора	284	590
кашель	282	105
мешковина	281	277
шерсть	277	1325
степь	273	99
ноздря	266	214
ствол	266	904
шея	264	779
звук	263	57
облако	253	332
цветок	250	440
стекло	248	1427
ком	233	483
сумерки	228	129
морда	223	492
повязка	223	356
прикосновение	216	44
кудри	207	168
вечер	203	111
стенка	199	122
солончак	197	1836
крыльцо	195	162
тряпица	194	574
полотно	194	250
ресница	191	1531
полоска	191	181
компресс	190	48
бетон	183	415
спина	182	2608
стебель	182	138
протравливание	175	168
куст	159	2258
чернота	156	44
дорожка	155	1050
метод	152	840
веко	152	95
кусок	151	271
власы	151	40
хвоя	149	218
ватка	148	89
огонь	147	90
комок	145	387
утро	144	156
прах	143	46
мостовая	142	191
мир	133	91
лепесток	130	43
звезда	130	57
пол	129	293
ладошка	128	142
хруст	127	64
прядь	126	768
комочек	126	202
сад	125	830
пласт	123	52
рубашка	122	1444
угол	114	254
выпадение	114	124
кто=SPRO,ед,муж,од=пр	112	107
ветвь	112	659
грязь	107	666
табак	106	71
корень	106	110
сирень	103	393
отпечаток	96	145
рельс	95	379
кисть	95	219
тропинка	94	162
луговина	88	41
воротник	86	152
ветошь	85	59
лед	79	255
кисточка	77	68
дол	75	298
ветка	75	2315
скамья	74	359
штукатурка	73	399
поручень	73	65
тропа	72	202
щетка	72	435
подушка	70	549
глыба	68	42
крыша	68	2428
очистка	67	625
пашня	66	64
борода	65	1086
плечо	65	825
галька	64	790
весло	63	338
заросль	62	77
отходы	60	110
век	60	67
веник	59	607
окисление	58	45
бок	57	967
платье	57	2254
гора	57	156
клок	57	162
край	56	250
носик	54	122
грудь	54	414
пасть	53	47
пятнышко	53	125
столб	52	135
висок	52	46
брезент	51	946
палуба	51	1113
плащ	50	2786
голова	49	3165
улица	49	1967
постель	49	226
крыло	47	406
снежок	47	428
затылок	46	97
щебень	45	96
пень	45	41
локон	45	69
скамейка	45	689
паутина	44	59
сукно	43	147
туча	42	320
тяжесть	42	69
газета	42	356
листочек	41	63
перила	41	146
конец	41	279
шинель	41	1710
навоз	40	64
листок	40	75
узел	40	122
