amount	3537910
number	3515079
group	3404839
town	1960549
quantity	1860495
part	1580274
business	1418334
piece	1200171
child	1152432
portion	1103997
scale	961994
intestine	932375
size	923854
area	884761
proportion	829097
percentage	747007
boy	687843
fraction	663931
farmer	647565
room	622193
village	611003
change	600312
island	590066
boat	546559
sample	528384
minority	512315
house	489526
firm	476599
community	470647
farm	448526
hole	419527
party	417274
thing	416829
country	402197
one	401022
volume	398146
company	394520
body	391195
stream	390794
vessel	390122
circle	366912
value	366106
degree	362893
sum	358992
animal	351731
dos	346677
table	345278
bowel	335167
way	329749
difference	327679
force	327384
space	326769
particle	321663
arm	310030
tree	307374
talk	307168
state	305929
band	303249
city	295194
cell	281987
family	272316
stone	270336
matter	269685
unit	266598
fish	265864
step	254953
object	241166
measure	240249
section	231817
extent	229374
bird	229008
bowl	223984
increase	222338
population	221263
voice	216771
window	215407
lake	208610
shop	208437
opening	207002
molecule	206538
man	201844
river	198190
fragment	197843
hand	197526
angle	191497
patch	190596
place	189434
distance	188805
craft	186411
box	181421
school	178814
army	178427
book	177969
enterprise	176647
garden	172502
nation	172324
plant	169168
grain	168427
figure	168006
branch	165117
glass	164442
plot	162155
square	160298
industry	159225
building	157934
mammal	155134
share	152796
holding	151625
class	150728
apartment	148673
detail	148310
fire	148064
hour	146219
head	144877
hill	144282
office	143473
variation	142067
bit	141062
set	134673
diameter	134192
church	131041
effect	130130
fortune	130025
collection	129914
region	129484
store	127611
importance	127176
fee	127033
wonder	126853
letter	126055
price	125693
ship	124853
segment	124167
girl	122514
item	122222
car	121788
settlement	120595
beginning	120176
cluster	119813
field	119379
producer	115032
hotel	111715
capital	110314
detachment	109369
mass	108416
bottle	107052
spot	105969
range	105780
contribution	105291
bag	105004
parcel	104860
world	104034
error	101743
claim	100901
print	100087
work	98230
stock	97470
bone	97234
gift	96130
point	95920
tube	95859
lot	95381
power	95196
college	95000
end	94618
aperture	94093
market	93956
library	93314
income	92453
drop	92437
time	92393
dimension	92180
factory	92170
artery	91936
game	91009
pool	90588
pond	89634
block	89479
estate	89160
ball	87761
door	87387
investor	87117
eye	86282
crowd	86258
picture	86089
dose	85834
peasant	85239
chapel	84970
blood	84951
loan	84805
package	84795
cost	84753
loss	83548
property	82895
bundle	82501
cottage	81820
majority	81794
businessmen	81117
increment	80890
saucepan	80816
role	80777
computer	80633
dog	80265
profit	80155
chance	80117
pox	80031
pocket	79523
metal	79330
smile	79058
colony	78849
chamber	78770
compass	77831
staff	77295
creek	76968
fruit	76928
article	76772
crystal	76626
study	76427
plate	75954
flock	74906
organization	74069
tract	73633
onion	73595
team	73123
plane	72644
concentration	72439
garrison	72197
pot	72028
mean	71352
problem	71327
amplitude	71062
herd	70904
strip	70797
district	70787
mountain	70530
specie	70530
insect	70355
supply	70030
project	69022
task	68686
muscle	68622
type	68514
son	68510
charge	68374
specimen	68238
bank	68161
hut	67863
creature	67659
addition	67631
rock	67511
temple	67409
fry	67288
cup	67260
valley	67257
seed	67108
paper	66940
account	66932
coin	66896
silver	65739
foot	65226
trader	65145
incision	65054
flower	64982
restaurant	64836
home	64349
shopkeeper	64165
margin	64090
side	63616
people	63539
park	63419
salary	63356
stick	63352
kitchen	63215
iron	63063
leaf	62856
fort	62709
perturbation	62593
saving	62539
corner	62179
stature	62149
bay	62137
fishing	62039
element	61279
system	61275
mirror	61272
motor	61069
museum	60873
beer	60845
gap	60498
landowner	60108
clearing	60004
vein	59939
subset	59381
arrow	59376
frame	59176
surface	59114
handful	59042
cabin	58675
machine	58569
tribe	58007
screen	57926
weight	57874
deviation	57766
proprietor	57722
holder	57452
movement	56965
manufacturer	56829
job	56375
lymphocyte	56137
brass	55623
woman	55503
expense	55443
note	55356
steamer	55322
moment	55124
hamlet	55084
water	54875
hospital	54873
gain	54861
wood	54784
bar	54700
men	54393
structure	53708
container	53276
comfort	53093
pile	53041
mouth	52764
cavity	52676
dot	52654
bell	52651
remnant	52332
rise	52069
mound	52060
elite	52006
service	51979
society	51957
merchant	51786
tool	51742
port	51711
workshop	51412
baby	51336
success	51033
press	50558
risk	50357
face	50328
cross	50286
territory	50210
batch	50180
concern	49853
audience	49437
displacement	49001
air	48965
card	48611
form	48603
interval	48512
telescope	48427
investment	48420
station	48418
decrease	48412
packet	48411
kingdom	48364
crack	48335
daughter	48110
model	48100
wave	48048
war	48031
cut	47789
bubble	47758
sphere	47663
lump	47662
bunch	47659
advantage	47586
bridge	47381
bedroom	47315
establishment	47190
selection	47112
fleet	46995
affair	46950
series	46863
example	46795
engine	46580
flame	46388
reduction	46254
log	46096
rodent	46050
lamp	45906
star	45609
test	45464
cap	45459
pebble	45442
employer	45228
committee	45117
case	44820
entrepreneur	44806
improvement	44674
pipe	44563
component	44461
sign	44286
living	43911
column	43850
lesion	43811
manufacturing	43551
ring	43284
pore	42799
order	42782
pit	42773
spring	42758
present	42659
interest	42560
pension	42346
line	42301
cube	42299
shot	42291
light	41998
knife	41903
basket	41872
current	41869
congregation	41841
program	41833
grant	41828
cylinder	41818
jar	41809
dish	41749
cloud	41642
probability	41584
States	41583
nucleus	41506
image	41163
finger	41075
wheel	40992
triangle	40891
farming	40719
operation	40610
tumor	40391
bed	40350
tin	40136
twig	39878
airway	39784
vesicle	39741
correction	39734
capacity	39720
difficulty	39470
temperature	39368
incident	39364
droplet	39327
post	39288
platform	39162
meal	39109
canoe	38885
allowance	38707
production	38677
knot	38642
businessman	38608
influence	38603
land	38589
potato	38401
owner	38192
mill	38192
retailer	38093
cave	38081
stage	37970
consequence	37842
network	37753
depression	37644
shrine	37611
teeth	37480
orchestra	37476
radius	37423
shrub	37232
victory	37198
tent	37145
brick	37126
signal	37057
channel	36945
core	36941
hope	36788
corporation	36710
sheet	36663
payment	36523
loop	36498
squadron	36488
leather	36418
shell	36385
pleasure	36232
brush	35883
laboratory	35865
nodule	35773
panel	35710
street	35664
breast	35580
wire	35451
magnitude	35384
notebook	35329
desk	35284
oil	35273
planet	35153
neighborhood	35082
basin	35030
cannon	34983
brook	34915
tank	34788
contingent	34716
deposit	34595
steel	34557
tradesman	34448
economy	34188
wage	34120
adjustment	33916
orifice	33836
clump	33790
coal	33760
debt	33706
subunit	33701
diamond	33654
peak	33629
chunk	33580
household	33498
copper	33366
pamphlet	33359
favor	33347
site	33277
theatre	33233
infant	33212
enclosure	33151
load	33018
grocery	33008
sound	32980
bush	32919
energy	32718
canal	32684
strain	32680
slice	32335
pressure	32326
event	32252
bulk	32163
gathering	32053
inn	31766
New	31746
shift	31696
disturbance	31662
suitcase	31514
trade	31494
peptide	31485
rubber	31263
dinner	31230
flask	31170
edition	31148
horse	31144
effort	31127
forest	31033
gas	30997
surplus	30988
consolation	30952
act	30932
budget	30843
protein	30755
courtyard	30573
wound	30452
person	30409
pair	30037
ear	30010
yard	29977
meeting	29956
painting	29792
tax	29791
device	29785
division	29695
steam	29689
appliance	29653
word	29636
fly	29388
advance	29345
cafe	29323
cake	29316
hook	29258
court	29118
toy	29112
drum	29066
trading	28987
republic	28943
truck	28855
bead	28839
arc	28838
statue	28812
gun	28769
file	28709
stuff	28651
dining	28600
egg	28513
heap	28453
oscillation	28338
gesture	28330
slip	28191
return	28091
granule	28042
brain	28038
parameter	28006
beaker	27934
gland	27902
pan	27881
defect	27814
sector	27765
reservoir	27618
newspaper	27591
denomination	27576
base	27534
chain	27534
cyst	27518
instrument	27502
tenant	27445
ridge	27444
aircraft	27430
government	27426
landholder	27407
cause	27369
organism	27367
reserve	27268
joint	27255
fluctuation	27234
board	27067
bill	27058
hall	26964
can	26757
operator	26595
club	26593
grove	26464
ion	26449
escort	26443
spine	26440
road	26417
dam	26239
feature	26147
rectangle	26130
bulb	26101
camp	25951
voltage	25950
radio	25921
schooner	25905
sailing	25878
capitalist	25821
issue	25798
institution	25786
needle	25699
compartment	25651
clique	25585
token	25556
cone	25547
gold	25534
reward	25519
principality	25489
magnet	25422
source	25383
projection	25381
plantation	25237
resistance	25136
depth	25105
rod	25053
purchase	25036
organ	25030
gate	24983
rivulet	24926
crop	24923
concession	24921
focus	24603
achievement	24535
tower	24532
roll	24478
beach	24466
chip	24452
dwelling	24411
cultivator	24408
target	24404
loaf	24359
battery	24331
department	24235
chair	24219
niche	24193
clay	24166
chest	24163
mind	24123
fault	24116
data	24047
