noun,teplyj,goryachij,colour,code
вода,121726,282642,#94dd20,stuff/liq
период,44589,503,#ae1e98,text
время,44227,13316,#462b14,time:period
воздух,39536,38684,#2abed1,space
слово,37942,12923,#ae1e98,text
день,32478,10722,#462b14,time:period
чувство,27052,14757,#efbb2b,psych:emot
место,24652,2446,#224f41,tool
ветер,22853,10374,#577db1,weather
море,19266,63,#e6753a,quant:max
прием,14714,4407,#08c91a,action
рука,14169,28246,#9017d9,hum
месяц,14140,281,#18bcb8,space/astr
край,13625,46,#2abed1,space
отношение,12109,896,#ae1e98,text
дождь,12069,507,#577db1,weather
лето,10240,801,#00d32e,time/time:season
ночь,9654,248,#1ac7ff,time
земля,9500,3957,#2abed1,space
свет,9410,2913,#9017d9,hum
постель,8709,229,#92d590,tool:@bedding
волна,8573,8490,#fe0828,manif
луч,8199,6089,#2abed1,space
дыхание,7531,14946,#622344,physiol
фронт,7528,119,#2abed1,space
ванна,7402,7715,#224f41,tool
молоко,7187,8851,#94dd20,stuff/liq
тон,7008,174,#f425a7,color
кровь,6926,22826,#94dd20,stuff/liq
ладонь,6353,5089,black,other
воспоминание,6346,140,#ae1e98,text
осень,6264,69,#00d32e,time/time:season
встреча,5965,876,#08c91a,action
письмо,5950,1432,#cedbd8,asp
ветерок,5723,364,black,other
часть,5480,1685,#08a4a5,poss
запах,5336,1425,#4c2d3f,smell
шапка,5189,121,#ae1e98,text
солнце,5116,11772,#2abed1,space
год,5005,437,#a5294d,time:age
тело,4842,5553,#5f5ade,thing
печка,4620,2583,#b71548,tool:device
молитва,4296,7993,#7ba3e3,speech
раствор,3962,18579,#c93008,stuff
участие,3668,23691,#49a740,inter:содействие
струя,3661,4862,#c6e27d,?
улыбка,3638,125,#adeec7,manif:emot
хлеб,3538,3405,#c91c61,poss$
взгляд,3327,2199,#753341,ment
печь,3281,4026,#b71548,tool:device
песок,3201,12495,#fd3508,stuff/food
слой,3182,1352,#682522,group
слеза,3106,9426,#c93008,stuff
губа,3076,5977,#58901e,room
вера,3056,10029,#753341,ment
источник,3038,23588,#85ebba,tool:device:@light
масса,3007,1028,#e6753a,quant:max
любовь,2924,56761,#efbb2b,psych:emot
вид,2890,7203,#753341,ment
приветствие,2771,3765,#7ba3e3,speech
туман,2753,1679,#577db1,weather
бок,2696,394,#2abed1,space
пар,2683,5677,#c93008,stuff
камень,2603,4288,#d9e87f,образование
вод,2507,529,black,other
зона,2442,8346,#2abed1,space
атмосфера,2412,905,#97dac2,unit
дружба,2218,2497,#552824,inter
поздравление,2212,4678,black,other
пыль,2174,5428,#c93008,stuff
сердце,2105,30455,#efbb2b,psych:emot
глаз,2084,6449,black,other
поток,2053,3426,#682522,group
область,1932,3687,#2abed1,space
голос,1908,721,#753341,ment
грудь,1879,1190,black,other
плечо,1856,597,#2abed1,space
сочувствие,1764,20238,#707c6e,psych:emot?
солнышко,1758,327,#9017d9,hum
трава,1714,438,#0f0f0c,plant
ключ,1710,8929,#18f17e,sign
ядро,1707,988,#224f41,tool
привет,1700,24382,#7ba3e3,speech
небо,1696,850,#2abed1,space
чай,1663,30676,#00b7e6,stuff/food/liq
прокатка,1657,30278,#db113d,impact:обработка
