существительное	горячий	теплый	прил1 // прил2
вода	146544	74769	1
точка	45028	111	405
воздух	38203	38763	0
след	36631	437	83
отклик	30435	557	54
желание	27952	122	229
рука	27567	13200	2
любовь	26434	1448	18
привет	24382	1700	14
поддержка	24348	103	236
источник	23588	2971	7
сердце	22749	1610	14
участие	22719	2887	7
цех	21598	48	449
электрон	20942	837	25
голова	20636	151	136
кровь	19437	3550	5
раствор	18302	3897	4
сочувствие	18114	1445	12
звезда	15828	400	39
пища	14955	110	135
состояние	14099	512	27
дыхание	13718	6796	2
время	13316	37082	0
чувство	12655	24592	0
слово	12507	33400	0
симпатия	11397	740	15
песок	11224	3201	3
день	10722	30393	0
уголь	9586	53	180
прокатка	9547	699	13
речь	9306	571	16
солнце	9294	4062	2
слеза	9044	3173	2
газ	8936	280	31
чай	8936	1162	7
ключ	8876	1710	5
ветер	8421	20436	0
пора	8376	772	10
волна	8263	8194	1
вера	8057	2632	3
вид	7203	2890	2
интерес	7054	138	51
молитва	6967	3347	2
пятно	6347	679	9
пар	6216	1398	4
губа	5977	3076	1
молоко	5826	3942	1
спирт	5724	326	17
металл	5708	285	20
глаз	5652	1910	2
плазма	5629	260	21
ванна	5570	4921	1
зона	5356	1877	2
напиток	4800	75	64
зола	4703	883	5
поздравление	4678	2212	2
луч	4451	6116	0
прием	4407	14714	0
пожелание	4369	1489	2
тело	4339	3658	1
пыль	4318	828	5
душа	4292	1947	2
камень	4288	2603	1
суп	4220	350	12
аплодисменты	4022	53	75
утюг	3936	279	14
способ	3919	229	17
приветствие	3765	2664	1
картошка	3727	152	24
струя	3724	2353	1
щека	3600	799	4
щи	3345	128	26
лоб	3300	200	16
ладонь	3264	3652	0
поцелуй	3207	152	21
поток	3091	1900	1
земля	3084	8236	0
масло	2839	484	5
лицо	2761	325	8
разговор	2756	203	13
шепот	2738	67	40
участок	2642	900	2
пирожок	2549	199	12
благодарность	2473	485	5
лепешка	2468	355	6
человек	2418	768	3
место	2328	23266	0
асфальт	2262	616	3
камера	2260	342	6
плита	2237	563	3
взгляд	2199	3327	0
бензол	2182	157	13
вино	2173	396	5
пот	2168	104	20
порыв	2161	91	23
свет	2098	7945	0
печь	2085	602	3
хлеб	1980	2244	0
пепел	1953	686	2
бульон	1909	302	6
конец	1849	586	3
духовка	1826	204	8
объятие	1788	835	2
смесь	1753	65	26
дружба	1699	1827	0
смола	1695	99	17
часть	1685	1032	1
туман	1679	2489	0
надежда	1679	315	5
палец	1623	1156	1
область	1576	1522	1
каша	1573	209	7
борщ	1565	58	26
ящик	1564	716	2
печка	1522	3047	0
мольба	1493	393	3
чайник	1465	81	18
минута	1464	44	33
еда	1442	83	17
