noun,feucht,nass,translation
Luft,35280,246,воздух
Boden,16455,7024,половина
Klima,11313,159,климат
Erde,9852,1553,земля
Raum,7419,174,зал
Stelle,6443,2094,место
Wetter,6355,4889,погода
Witterung,6260,4965,погода
Sand,6194,2191,песок
Auge,5501,2857,глаз
Tuch,4413,4448,ткань
Wiese,4158,2679,луг
Standort,4001,1022,местоположение
Zustand,3749,1666,состояние
Ort,3520,274,место
Hand,3280,1516,рука
Jahr,3090,4476,год
Thermometer,3045,329,термометр
Niederung,2567,147,низменность
Wand,2337,435,стена
Gegend,2218,98,район
Wald,2091,102,лес
Umschlag,2088,530,конверт
Kälte,2028,709,холод
Keller,1982,166,подвал
Haut,1981,482,кожа
Element,1892,2096,элемент
Grund,1857,491,причина
Wind,1707,126,ветер
Nebel,1652,303,туман
Moos,1609,273,мох
Periode,1607,362,период
Papier,1592,705,бумага
Fliesspapier,1565,296,проточная бумага
Umgebung,1539,70,окрестность
Sommer,1497,2191,лето
Gras,1458,1709,трава
Schwamm,1441,1407,губка
Jahreszeit,1400,2222,сезон
Holz,1375,1315,дерево
Erdreich,1341,106,грунт
Lappe,1341,1251,lappe
Oberfläche,1212,341,поверхность
Lehm,1203,607,глина
Niederschlag,1079,57,осадок
Masse,1040,51,масса
Mauer,1024,86,стена
Filtrierpapier,1019,188,фильтр бумага
Körper,1011,265,тело
Schicht,970,150,слой
Haar,965,2120,волос
Untergrund,906,208,подполье
Land,891,62,страна
Lage,889,160,расположение
Fläche,887,540,площадь
Ton,881,235,звук
Watte,865,376,вата
Finger,834,928,палец
Winter,776,485,зима
Dampf,772,433,пара
Zunge,757,54,язык
Erdboden,750,78,земля
Nacht,748,158,ночь
Tag,731,447,день
Einpackungen,728,210,упаковка поворот
Weg,700,8718,путь
Lippe,684,113,губа
Sägespan,657,109,опилки, стружка
Bedingung,636,80,условие
Schlamm,626,256,грязь
Blick,619,231,вид
Zeit,616,695,время
Fleck,613,522,пятно
Material,586,56,материал
Stein,579,454,камень
Blatt,577,473,лист
Platz,559,55,место
Faden,554,507,нить
Waldboden,510,53,лес полый
Stroh,494,438,солома
Laub,471,458,листва
Wäsche,457,958,бельё
Stirn,430,179,лоб
Platte,419,1150,плита
Sägemehl,415,49,опилка
Einpackung,399,99,сегодня вам предстоит совершить
Kleid,396,3344,платье
Thon,392,148,thon
Stoff,380,160,ткань
Handtuch,374,864,полотенце
Gelände,372,44,местность
Schnee,371,1389,снег
Flecken,363,262,пятно
Monat,331,254,месяц
Felsen,326,247,скала
Reinigung,316,221,чистка
Rasen,308,110,газон
Schnur,302,151,шнур
Schleier,297,51,фат
Nase,295,44,нос
Lehmboden,295,51,глинистая почва
Weide,285,219,верба
Torf,284,204,торф
Filtrirpapier,284,57,filtrirpapier
Pinsel,278,319,кисть
Grab,275,704,могила
Wolke,265,71,облако
Leinwand,264,287,холст
Farbe,259,399,цвета
Compressen,253,165,compressen
Probe,252,75,образец
Frühjahr,244,259,весной
Baum,242,88,дерево
Leder,241,173,кожа
Brot,239,102,хлеб
Behandlung,236,93,лечение
Kohle,233,118,уголь
Filterpapier,228,58,фильтровальная бумага
