business	756097
city	754326
man	510757
deal	462884
house	399951
difference	317197
picture	292648
thing	281401
problem	257319
game	241340
brother	207626
boy	197951
one	191856
part	183997
gun	179567
tree	171059
question	168652
toe	167359
money	160697
bang	159004
company	145689
fish	140822
hand	139855
way	139558
mistake	135928
smile	135096
room	135076
time	133789
band	127368
family	123284
step	120291
change	118812
men	114768
shot	109904
ship	109836
idea	107684
day	106158
guy	105457
job	100295
power	99170
word	99071
town	98980
issue	98199
league	97573
trouble	96768
government	95330
name	94461
eye	93835
fellow	93336
dog	93097
event	88894
book	87752
girl	86201
party	86118
corporation	84699
stone	84520
rock	84144
sister	83203
head	82703
hit	81696
stick	76029
buck	75997
hole	75826
fire	75752
mouth	75469
car	74988
news	72006
advantage	71799
help	71790
hug	71209
piece	69154
box	68794
cat	68789
river	66494
surprise	65538
screen	63121
crowd	61944
success	59962
firm	59945
country	58931
fight	57378
story	57322
place	55227
chair	54509
hotel	53562
window	53506
wave	53022
bank	52771
chunk	52643
landowner	51944
building	51356
decision	51250
pot	51230
show	51167
industry	51130
grin	50113
project	49303
role	49180
star	48660
table	48048
bed	47641
break	46185
fan	45719
number	45547
chance	44911
boat	44401
foot	43932
increase	42528
push	41888
profit	41881
world	41310
bird	41091
heart	40506
woman	40448
dinner	40104
horse	39409
nose	39387
scale	38627
farm	38559
plan	38395
meeting	38326
impact	37912
war	37779
ear	37610
people	37577
wheel	37537
drum	37499
battle	37300
glass	37105
farmer	36908
store	36780
bag	36742
group	36657
pile	36492
factor	36464
risk	36458
bowl	36388
body	35949
drop	35945
truck	35753
market	35361
letter	35172
machine	34900
estate	34611
animal	34200
lie	34119
meal	33693
circle	33610
gap	33541
landlord	33437
block	33356
hat	32997
challenge	32947
moment	32774
oak	32758
lake	31679
iron	31489
secret	30932
door	30866
hall	30837
jump	30810
bear	30471
winner	30216
bos	30098
tent	29009
capital	28691
bull	28415
kid	28403
bourgeoisie	28292
factory	28087
sign	28084
field	27796
scene	27674
oil	27563
storm	27213
night	27072
laugh	26783
case	26637
school	26611
loss	26458
ball	26353
water	26344
leap	26160
fuss	26076
dream	25886
favor	25711
price	25583
belly	25514
concern	25462
reason	25440
state	25310
church	25138
mountain	25115
log	24903
end	24774
tear	24667
lump	24508
basket	24502
improvement	24409
hurry	24353
enterprise	24203
baby	24071
bunch	23965
garden	23897
village	23759
joke	23725
island	23680
spender	23564
voice	23490
brass	23257
order	23228
boulder	22912
player	22759
businessmen	22707
hill	22652
bite	22566
race	22405
kitchen	22401
barn	22008
knife	21828
department	21737
task	21596
boost	21570
sigh	21552
effort	21277
influence	21228
kiss	21090
strike	20995
desk	20951
dividend	20622
arm	20531
bell	20461
chief	20449
union	20440
splash	20415
sea	20309
play	20257
talk	20128
work	20102
gate	19979
sale	19862
steel	19653
organization	19651
bay	19629
load	19582
prize	19530
trout	19288
mess	19269
production	18994
investment	18983
leather	18949
effect	18916
wedding	18914
wood	18877
move	18866
sum	18771
army	18575
feast	18543
dance	18532
majority	18529
cigar	18494
office	18494
stuff	18380
breakfast	18247
shoulder	18207
noise	18058
interest	18044
plant	17974
silver	17943
clock	17814
top	17728
capitalist	17657
snake	17638
demand	17556
area	17518
teeth	17379
celebration	17377
dam	17350
science	17178
opportunity	16950
point	16949
brain	16660
child	16630
muscle	16557
volume	16461
responsibility	16409
bundle	16287
win	16198
blow	16154
boot	16074
breath	16061
budget	15979
studio	15922
pine	15920
merchant	15899
industrialist	15840
test	15756
attraction	15719
impression	15487
labor	15481
shop	15338
plate	15239
salary	15176
figure	15136
disappointment	15114
bottle	15113
yard	15104
gulp	15071
square	15067
plane	15045
breast	15041
stake	15002
argument	14963
engine	14909
tank	14849
paper	14792
bill	14688
item	14664
road	14632
wind	14510
hospital	14504
fireplace	14496
frame	14449
battalion	14406
canoe	14384
operation	14272
sheet	14271
bass	14249
headline	14166
dining	14108
advance	14080
