noun,humid,damp,translation
climate,94643,28027,климат
air,63114,59320,воздух
region,56758,2409,область
tropic,45114,233,тропик
condition,44324,19149,состояние
atmosphere,35156,18103,атмосфера
area,34021,9978,площадь
weather,27214,49834,погода
environment,23768,4443,среда
day,20162,12755,день
summer,19564,2686,лето
forest,16393,7638,лес
heat,14721,14540,тепло
zone,10639,325,зона
night,9123,15169,ночь
soil,7350,36656,почва
period,5874,806,период
part,5796,1771,часть
chamber,5775,2621,камера
land,5444,1990,земля
place,5074,46466,место
lowland,4763,1084,низменность
eye,3870,3387,глаз
section,3870,314,раздел
country,3642,2239,страна
way,3615,430,путь
season,2908,2440,сезон
afternoon,2888,1094,днём
East,2831,41,восток
phase,2744,151,фаза
wind,2721,11360,ветер
jungle,2684,1215,джунгли
month,2534,489,месяц
evening,2480,3686,вечером
state,2338,3700,государство
room,2323,9490,номер
coast,2243,191,побережье
district,2017,641,район
morning,1980,6280,утром
valley,1949,2307,долина
mountain,1885,1024,гора
August,1846,165,август
habitat,1721,1812,среда обитание
portion,1713,425,часть
plain,1694,738,равнина
earth,1620,49445,земля
breeze,1533,3406,ветерок
warmth,1530,1848,тепло
situation,1441,12839,ситуация
savanna,1381,147,саванна
belt,1368,125,пояс
winter,1312,4971,зима
darkness,1295,3427,тьма
year,1274,433,год
rain,1225,448,дождь
grassland,1215,986,пастбище
July,1177,110,июль
one,1118,1177,один
location,1117,4562,расположение
locality,1059,2869,район
temperature,1052,183,температура
nature,1044,591,природа
South,994,52,южный
vapour,924,1308,пара
wall,911,17425,стена
type,898,111,тип
sky,892,476,небо
ground,891,37764,земля
site,882,1461,сайт
gas,871,349,газ
south,863,42,южный
surface,837,7355,поверхность
spot,830,11863,место
city,789,426,город
cloud,752,1785,облако
rainforest,727,165,тропический лес
monsoon,704,123,муссонный
microclimate,699,90,микроклимат
prairie,689,240,- прерь
mist,681,7016,туман
layer,668,623,слой
breath,665,2125,дыхание
exhalation,651,663,выдох
surroundings,649,1250,окрестность
fog,649,5573,туман
spring,642,1982,весна
element,626,69,элемент
greenhouse,625,96,овощеводство
landscape,612,154,пейзаж
Pacific,612,108,тихого океана
side,597,1341,сторона
body,596,4195,тело
highland,587,52,хайленд
New,585,153,новый
vapor,574,729,пара
haze,569,514,дымка
June,552,160,июнь
island,535,593,остров
clime,535,122,климат
time,534,247,время
light,530,493,свет
cellar,522,15437,погреб
swamp,520,227,болото
slope,515,706,склон
wood,507,18163,древесина
process,498,57,процесс
upland,497,146,боровой
Sunday,489,264,в воскресение
Florida,488,69,флорида
Gulf,485,44,залив
margin,485,281,маржа
smell,484,6343,запах
mass,479,1296,масса
character,474,141,характер
woodland,468,2072,вудленд
sea,467,1879,мор
interior,464,727,интерьер
evergreen,459,96,эвергрин
method,431,72,способ
north,425,131,север
substance,423,530,вещество
outside,421,814,снаружи
meadow,420,7108,лужок
shade,407,2088,тенить
box,402,944,коробка
street,400,2151,улица
spell,395,496,заклинание
river,393,874,река
cave,391,3695,пещера
basin,383,55,бассейн
sand,379,27313,песок
floor,373,9302,половина
vegetation,368,1091,растительность
Saturday,363,178,в суббота
September,359,238,сентябрь
shadow,342,1582,тень
storage,335,802,хранение
today,334,162,сегодня
space,319,654,пространство
lip,318,1047,губа
setting,307,129,установка
garden,305,1845,сад
veil,300,306,вуаль
rock,298,4103,рок
flower,286,412,цветок
cell,283,5076,клетка
depth,283,408,глубина
matter,281,78,вопрос
hill,280,441,холм
pasture,278,1673,пастбище
current,278,270,ток
terrain,274,190,местность
stillness,269,313,неподвижность
form,267,215,форма
leaf,266,7861,лист
particle,265,111,частица
thing,259,1025,дело
shore,257,385,берег
clay,256,9531,глина
sun,252,98,солнце
scent,249,823,аромат
oxygen,248,101,кислород
medium,244,357,средний
autumn,244,2043,осень
salt,243,1552,соль
world,241,370,мир
hand,238,10702,рука
bank,233,1002,банк
North,232,53,север
basement,229,7600,подвал
kitchen,226,1917,кухня
silence,221,520,тишина
field,215,2737,пол
delta,213,41,дельта
stage,206,79,этап
dusk,197,265,сумрак
Friday,197,64,в пятница
odor,196,1362,запах
face,195,4967,лицо
burrow,194,217,закапываться
kiss,186,1193,поцелуй
gloom,183,1006,сумрак
house,182,5542,дом
fragrance,180,394,аромат
stratum,179,121,стратум
flesh,173,1709,плоть
sunshine,171,50,солнце
bathroom,170,275,ванная комнат
Louisiana,170,71,луизиана
steam,169,470,пара
inside,168,1109,внутри
England,168,238,англия
corridor,168,992,коридор
spirit,166,184,дух
life,166,112,жизнь
look,164,265,смотреть
chill,163,8857,холодок
moss,160,10111,мох
bed,158,6567,кровать
moisture,158,204,влага
hour,158,262,час
skin,157,8651,кожа
front,157,83,стойка
grass,157,21522,трава
blanket,157,3579,одеяло
northeast,155,59,северо-восток
mixture,154,639,смесь
tree,153,837,дерево
strip,151,355,полоса
twilight,150,459,сумерки
sweat,149,1006,пот
half,148,65,половина
