существительное	красный	красноватый	прил1 // прил2
пятно	54817	3604	15
краска	43523	265	164
звезда	34811	292	119
лицо	27111	1453	18
глина	26392	1535	17
цветок	22404	580	38
глаз	22093	1167	18
цвет	20791	869	23
полоса	20223	867	23
луч	18177	1316	13
окраска	18079	2815	6
огонь	17564	918	19
свет	15091	3803	3
фон	13068	536	24
нос	12856	594	21
солнце	12758	444	28
песчаник	12269	835	14
огонек	11822	1285	9
водоросль	10677	46	232
рука	10037	311	32
точка	9340	588	15
полоска	9090	582	15
охра	8776	163	53
крыша	8655	46	188
тон	8641	2168	3
камень	8188	725	11
язык	8147	79	103
ягода	7730	54	143
звездочка	7459	57	130
круг	6746	74	91
ангоб	6501	368	17
оттенок	6294	14987	0
лист	5938	506	11
лампочка	5903	89	66
плод	5869	58	101
золото	5707	169	33
окрашивание	5363	129	41
песок	5092	1338	3
щека	4858	54	89
зарево	4699	351	13
черта	4653	66	70
пигмент	4537	157	28
прожилка	4419	550	8
кристалл	4370	50	87
кайма	4267	309	13
кожа	4006	274	14
отблеск	3887	2861	1
земля	3666	510	7
гранит	3448	214	16
искра	3430	211	16
пятнышко	3362	336	10
век	3343	679	4
стена	3134	69	45
жилка	3118	474	6
глазок	2730	526	5
отсвет	2604	1071	2
уголь	2570	56	45
шар	2534	102	24
пыль	2526	1022	2
диск	2515	200	12
румянец	2367	95	24
мрамор	2362	82	28
туман	2349	528	4
свечение	2348	191	12
медь	2209	70	31
скала	2098	655	3
трава	2085	226	9
луна	2072	244	8
палец	2067	88	23
шерсть	2065	71	29
небо	2062	256	8
волос	2042	248	8
борода	2022	43	47
почва	2003	152	13
облако	1998	317	6
мергель	1903	66	28
рубец	1836	131	14
блик	1737	582	2
известняк	1663	379	4
порошок	1633	41	39
жидкость	1619	332	4
окно	1566	40	39
порода	1457	90	16
кольцо	1447	46	31
крапинка	1444	159	9
сок	1404	72	19
веко	1365	382	3
участок	1299	52	24
ободок	1258	72	17
вспышка	1244	140	8
рисунок	1230	114	10
ствол	1184	551	2
волна	1171	51	22
блеск	1161	393	2
язычок	1139	88	12
суглинок	1065	631	1
край	1055	145	7
носик	1047	52	20
дым	1002	186	5
кремень	1001	105	9
отлив	968	1206	0
сосна	916	69	13
пена	901	105	8
молния	853	110	7
плавник	847	90	9
масса	826	132	6
шрам	821	133	6
обжиг	806	237	3
след	788	232	3
сияние	779	271	2
штрих	743	101	7
вода	736	321	2
кора	728	370	1
слой	713	89	8
туф	711	46	15
холм	699	47	14
белок	676	258	2
масло	643	89	7
освещение	637	149	4
мякоть	636	62	10
куст	614	62	9
искорка	567	91	6
поверхность	519	159	3
жар	464	45	10
гора	409	70	5
металл	401	86	4
основание	366	196	1
зрачок	360	40	9
сыпь	349	45	7
волосок	342	189	1
вершина	335	176	1
марс	330	97	3
загар	305	265	1
обрыв	305	46	6
накал	289	164	1
мгла	275	334	0
налет	256	120	2
сумрак	244	350	0
стебель	241	226	1
ветвь	220	123	1
древесина	219	90	2
побег	214	187	1
кожица	179	44	4
сердцевина	170	47	3
листочек	154	76	2
корка	150	61	2
колорит	146	51	2
железка	145	62	2
подпалина	120	42	2
чешуйка	96	65	1
щетина	93	42	2
полумрак	86	167	0
бородка	85	77	1
черешок	73	119	0
