noun,teplyj,goryachij,colour,code
вода,121726,282642,#a34bd5,stuff/liq
период,44589,503,#0f81f1,text
время,44227,13316,#8ebbdb,time:period
воздух,39536,38684,#6dd9dd,space
слово,37942,12923,#0f81f1,text
день,32478,10722,#8ebbdb,time:period
чувство,27052,14757,#a24c19,psych:emot
место,24652,2446,#863f85,tool
ветер,22853,10374,#be0a6b,weather
море,19266,63,#8d4371,quant:max
прием,14714,4407,#8e5dd7,action
рука,14169,28246,#fcee1f,hum
месяц,14140,281,#4e2628,space/astr
край,13625,46,#6dd9dd,space
отношение,12109,896,#0f81f1,text
дождь,12069,507,#be0a6b,weather
лето,10240,801,#581f5c,time/time:season
ночь,9654,248,#7567b2,time
земля,9500,3957,#6dd9dd,space
свет,9410,2913,#fcee1f,hum
постель,8709,229,#658931,tool:@bedding
волна,8573,8490,#574b2e,manif
луч,8199,6089,#6dd9dd,space
дыхание,7531,14946,#b28eca,physiol
фронт,7528,119,#6dd9dd,space
ванна,7402,7715,#863f85,tool
молоко,7187,8851,#a34bd5,stuff/liq
тон,7008,174,#ff1e0f,color
кровь,6926,22826,#a34bd5,stuff/liq
ладонь,6353,5089,black,other
воспоминание,6346,140,#0f81f1,text
осень,6264,69,#581f5c,time/time:season
встреча,5965,876,#8e5dd7,action
письмо,5950,1432,#905e93,asp
ветерок,5723,364,black,other
часть,5480,1685,#9febd3,poss
запах,5336,1425,#d1c832,smell
шапка,5189,121,#0f81f1,text
солнце,5116,11772,#6dd9dd,space
год,5005,437,#3411cb,time:age
тело,4842,5553,#33401d,thing
печка,4620,2583,#f9d6ee,tool:device
молитва,4296,7993,#55521d,speech
раствор,3962,18579,#993517,stuff
участие,3668,23691,#3cb8d2,inter:содействие
струя,3661,4862,#66f094,?
улыбка,3638,125,#cbfd35,manif:emot
хлеб,3538,3405,#4d5a19,poss$
взгляд,3327,2199,#eb0ad5,ment
печь,3281,4026,#f9d6ee,tool:device
песок,3201,12495,#3151ed,stuff/food
слой,3182,1352,#97d2cc,group
слеза,3106,9426,#993517,stuff
губа,3076,5977,#595754,room
вера,3056,10029,#eb0ad5,ment
источник,3038,23588,#f8cc08,tool:device:@light
масса,3007,1028,#8d4371,quant:max
любовь,2924,56761,#a24c19,psych:emot
вид,2890,7203,#eb0ad5,ment
приветствие,2771,3765,#55521d,speech
туман,2753,1679,#be0a6b,weather
бок,2696,394,#6dd9dd,space
пар,2683,5677,#993517,stuff
камень,2603,4288,#92a102,образование
вод,2507,529,black,other
зона,2442,8346,#6dd9dd,space
атмосфера,2412,905,#ec1b00,unit
дружба,2218,2497,#7adbde,inter
поздравление,2212,4678,black,other
пыль,2174,5428,#993517,stuff
сердце,2105,30455,#a24c19,psych:emot
глаз,2084,6449,black,other
поток,2053,3426,#97d2cc,group
область,1932,3687,#6dd9dd,space
голос,1908,721,#eb0ad5,ment
грудь,1879,1190,black,other
плечо,1856,597,#6dd9dd,space
сочувствие,1764,20238,#70eb20,psych:emot?
солнышко,1758,327,#fcee1f,hum
трава,1714,438,#390ede,plant
ключ,1710,8929,#711f1b,sign
ядро,1707,988,#863f85,tool
привет,1700,24382,#55521d,speech
небо,1696,850,#6dd9dd,space
чай,1663,30676,#ec52fe,stuff/food/liq
прокатка,1657,30278,#7be291,impact:обработка
облако,1649,321,black,other
капля,1625,1027,black,other
цвет,1575,233,#ff1e0f,color
лежанка,1566,46,#6dd9dd,space
пора,1554,14861,#7567b2,time
юг,1545,51,#6dd9dd,space
строка,1507,836,#0f81f1,text
душа,1507,2497,#fcee1f,hum
пожелание,1489,4369,#55521d,speech
краска,1478,1394,#5b1c39,impact
отзыв,1462,206,#55521d,speech
дух,1453,665,#d1c832,smell
влага,1428,688,#993517,stuff
душ,1383,3000,#863f85,tool
струйка,1360,903,black,other
забота,1353,1083,#3cb8d2,inter:содействие
палец,1338,1623,#863f85,tool
благодарность,1311,14455,#55521d,speech
сторона,1307,1045,#f2f751,asp:ment
фаза,1295,305,black,other
стена,1274,178,#6fad61,form/quant:max
ливень,1264,95,#993517,stuff
ласка,1217,527,#3e37f7,animal
река,1156,180,#8d4371,quant:max
поверхность,1155,3156,#6dd9dd,space
почва,1126,170,#00b1d5,stuff/space
сырость,1086,49,black,other
участок,1081,3092,#8a10b7,org
озеро,1037,478,#686ccc,space/reservoir
зола,1034,5449,#993517,stuff
внимание,1024,280,#eb0ad5,ment
кожа,1000,543,#993517,stuff
жизнь,973,1120,#baa67c,be:exist
беседа,964,1091,#55521d,speech
речь,948,15341,#55521d,speech
водка,943,196,#ec52fe,stuff/food/liq
тишина,942,94,#fc6f6f,sound/neg
пиво,934,71,#ec52fe,stuff/food/liq
выражение,927,618,#0f81f1,text
шея,925,273,black,other
огонь,922,936,#7fde25,manif:disease
симпатия,907,13150,#0eb470,hum:kin$/hum
долина,906,77,#6dd9dd,space
снег,900,1088,#be0a6b,weather
деформация,891,8189,black,other
жидкость,889,3710,#a34bd5,stuff/liq
денек,885,641,black,other
темнота,864,177,#fcee1f,hum
щека,847,3871,black,other
электрон,837,21013,black,other
объятие,835,1788,#c2134f,контакт
дым,831,1234,#993517,stuff
водичка,828,169,black,other
очаг,821,179,#6dd9dd,space
переход,812,601,#7e2677,space/constr
пол,800,79,#6dd9dd,space
баня,797,1658,#9b1002,org/constr:@build
мгла,781,72,#16c522,light/neg
блеск,773,1358,#993517,stuff
вагон,771,57,#eb467b,tool:transp
человек,768,2418,#fcee1f,hum
аромат,768,67,#d1c832,smell
мясо,762,1187,#993517,stuff
шерсть,759,61,#993517,stuff
сон,752,116,#b28eca,physiol
навоз,749,196,#993517,stuff
пятно,735,9268,black,other
вихорь,724,383,black,other
радость,716,1384,#1def47,hum@$
ящик,716,1564,#8a10b7,org
тьма,714,246,#cabe9b,numcoll
плита,712,2778,#6dd9dd,space
труба,700,855,#b4b78c,tool:mus
грусть,693,59,#a24c19,psych:emot
сияние,686,185,#291e79,light
пепел,686,1953,#993517,stuff
состояние,663,15373,#d3efaf,psych/physiol
прикосновение,662,358,#c2134f,контакт
масло,658,3687,#993517,stuff
вино,653,4732,#ec52fe,stuff/food/liq
батарея,650,72,#e7175b,form/кол-во
пища,649,25156,#0b9987,food
мир,638,51,#7adbde,inter
н,626,145,black,other
тельце,624,59,#993517,stuff
асфальт,616,2262,#6dd9dd,space
крыло,607,48,black,other
кирпич,605,1290,#711f1b,sign
водица,603,60,black,other
память,603,186,#eb0ad5,ment
привязанность,594,3493,#b7603b,psych
она,587,55,black,other
конец,586,1849,#4bff09,be:disapp
дерево,585,49,#993517,stuff
спина,579,588,black,other
плоть,578,59,#993517,stuff
язык,575,1182,#fcee1f,hum
среда,563,1106,#6dd9dd,space
отклик,557,30435,#55521d,speech
колено,546,92,#93e95a,move
нога,543,389,black,other
ручей,540,68,#686ccc,space/reservoir
морда,537,97,black,other
ствол,532,336,#863f85,tool
питие,524,475,black,other
пойло,520,130,#ec52fe,stuff/food/liq
стенка,520,2672,#ddc448,tool:furn
живот,519,165,#baa67c,be:exist
настой,517,457,#a34bd5,stuff/liq
берег,511,67,#6dd9dd,space
цветок,508,232,#390ede,plant
мольба,500,1493,#55521d,speech
крыша,485,110,black,other
мед,473,252,#ec52fe,stuff/food/liq
роса,472,52,#993517,stuff
подушка,449,444,#863f85,tool
плазма,445,14492,#993517,stuff
тяжесть,443,186,#33401d,thing
комок,442,736,black,other
след,437,40068,#1d67d7,остаток
ток,435,427,#6dd9dd,space
доска,433,123,#863f85,tool
полоса,431,1452,#8ebbdb,time:period
страница,428,67,#8ebbdb,time:period
воск,426,1226,#993517,stuff
ручка,422,426,#a376c3,tool:instr
сок,419,63,#ec52fe,stuff/food/liq
мрак,416,75,#16c522,light/neg
город,413,61,#6dd9dd,space
звезда,400,17562,#2b7011,sign/form
проводы,393,67,#8e5dd7,action
зерно,386,117,#0b9987,food
компресс,384,1007,#863f85,tool
испарение,383,52,#993517,stuff
машина,374,52,#eb467b,tool:transp
рукопожатие,364,150,#c6d8a9,impact?/inter?
отвар,358,373,#ec52fe,stuff/food/liq
лепешка,355,2468,#64381d,food/изделие
солома,354,46,#0f46f6,food:fodder
образ,353,410,#905e93,asp
суп,350,4297,#b1be49,stuff/food/liq/блюдо
нежность,348,581,#55521d,speech
грязь,342,321,#993517,stuff
камера,342,2677,#6dd9dd,space
промывка,340,470,black,other
признательность,339,4642,#a24c19,psych:emot
яйцо,337,106,#0b9987,food
газ,336,22570,#993517,stuff
звук,331,125,#cc585f,speech?
спирт,326,5977,#993517,stuff
